product_id,product_name,category,subcategory,color,size,price,cost,season,launch_date
SKU00123,Blue Heels,Shoes,Heels,Brown,XXL,28.37,13.66,Winter,2024-02-15 23:48:11.842628
SKU00124,Grey Casual Dresses,Dresses,Casual Dresses,Red,L,75.03,31.5,Summer,2024-06-24 23:48:11.842636
SKU00125,Grey Sandals,Shoes,Sandals,Black,L,52.24,21.85,Spring,2024-05-08 23:48:11.842644
SKU00126,Black Jeans,Bottoms,Jeans,Grey,S,148.49,84.04,Summer,2024-11-21 23:48:11.842652
SKU00127,Red Scarves,Accessories,Scarves,Red,M,119.54,68.34,Spring,2024-08-07 23:48:11.842660
SKU00128,Green Trousers,Bottoms,Trousers,Blue,XS,104.24,42.01,Spring,2024-10-20 23:48:11.842667
SKU00129,Black Skirts,Bottoms,Skirts,Blue,M,22.07,9.33,Winter,2024-04-01 23:48:11.842676
SKU00130,Pink Shirts,Tops,Shirts,Grey,XL,95.14,42.27,Winter,2024-04-13 23:48:11.842683
SKU00131,Green Bags,Accessories,Bags,Pink,XXL,145.14,82.65,Spring,2024-04-25 23:48:11.842691
SKU00132,White Blazers,Outerwear,Blazers,Pink,XXL,137.81,64.0,Spring,2024-11-15 23:48:11.842699
SKU00133,Blue Jeans,Bottoms,Jeans,Green,XL,100.47,60.17,Fall,2024-06-14 23:48:11.842707
SKU00134,Pink Belts,Accessories,Belts,Brown,XS,122.07,66.43,Spring,2024-03-19 23:48:11.842714
SKU00135,Pink Shorts,Bottoms,Shorts,Red,L,60.76,29.36,Winter,2024-06-05 23:48:11.842722
SKU00136,Brown Sweaters,Tops,Sweaters,Grey,XXL,49.41,20.43,Summer,2024-04-28 23:48:11.842730
SKU00137,Brown T-shirts,Tops,T-shirts,White,XXL,114.74,47.27,Summer,2024-03-17 23:48:11.842738
SKU00138,White Belts,Accessories,Belts,Brown,M,132.94,78.92,Winter,2024-11-30 23:48:11.842748
SKU00139,Grey Belts,Accessories,Belts,White,XL,83.5,37.14,Summer,2024-04-24 23:48:11.842756
SKU00140,Grey Sweaters,Tops,Sweaters,White,M,92.5,55.03,Winter,2024-03-14 23:48:11.842763
SKU00141,Green Bags,Accessories,Bags,Black,S,51.89,24.4,Fall,2024-07-06 23:48:11.842774
SKU00142,Brown Trousers,Bottoms,Trousers,White,S,115.03,63.18,Spring,2024-11-10 23:48:11.842782
SKU00143,Brown Shorts,Bottoms,Shorts,Pink,M,36.25,20.13,Fall,2024-07-13 23:48:11.842789
SKU00144,Black Bags,Accessories,Bags,Blue,S,116.85,53.1,Spring,2024-11-15 23:48:11.842797
SKU00145,Pink Heels,Shoes,Heels,Pink,L,51.88,25.21,Spring,2024-07-03 23:48:11.842805
SKU00146,Pink Summer Dresses,Dresses,Summer Dresses,Green,XS,44.77,19.74,Spring,2024-12-23 23:48:11.842813
SKU00147,Green Trousers,Bottoms,Trousers,Green,M,31.2,13.58,Winter,2024-05-20 23:48:11.842820
SKU00148,Red Blazers,Outerwear,Blazers,Grey,XS,68.6,27.7,Spring,2024-05-17 23:48:11.842828
SKU00149,Brown Sweaters,Tops,Sweaters,Brown,XXL,101.42,48.78,Fall,2024-10-29 23:48:11.842837
SKU00150,Pink Casual Dresses,Dresses,Casual Dresses,Grey,XS,73.96,36.03,Spring,2024-08-24 23:48:11.842845
SKU00151,White Blazers,Outerwear,Blazers,Brown,M,115.68,64.3,Summer,2024-07-09 23:48:11.842853
SKU00152,Red T-shirts,Tops,T-shirts,Grey,M,113.2,47.61,Summer,2024-08-28 23:48:11.842861
SKU00153,Blue Casual Dresses,Dresses,Casual Dresses,Blue,XXL,25.17,13.87,Winter,2024-05-03 23:48:11.842868
SKU00154,Grey Jewelry,Accessories,Jewelry,Grey,S,74.37,39.14,Winter,2024-05-14 23:48:11.842877
SKU00155,Black Summer Dresses,Dresses,Summer Dresses,Grey,XL,25.02,10.2,Winter,2024-05-09 23:48:11.842886
SKU00156,White Evening Dresses,Dresses,Evening Dresses,White,XL,95.2,49.13,Winter,2024-05-04 23:48:11.842895
SKU00157,Pink Sneakers,Shoes,Sneakers,Red,M,96.68,47.38,Summer,2024-11-25 23:48:11.842905
SKU00158,White Summer Dresses,Dresses,Summer Dresses,Blue,XS,48.45,24.46,Winter,2024-05-16 23:48:11.842913
SKU00159,Grey Scarves,Accessories,Scarves,Grey,M,67.3,27.62,Fall,2024-02-24 23:48:11.842921
SKU00160,White Sandals,Shoes,Sandals,Grey,XS,90.33,40.68,Winter,2024-08-03 23:48:11.842929
SKU00161,Grey Boots,Shoes,Boots,White,XL,104.59,62.08,Fall,2024-07-21 23:48:11.842936
SKU00162,Blue Heels,Shoes,Heels,White,M,90.45,48.3,Fall,2024-10-22 23:48:11.842946
SKU00163,Brown Sneakers,Shoes,Sneakers,Grey,XS,63.95,29.95,Summer,2024-09-08 23:48:11.842955
SKU00164,Red Jackets,Outerwear,Jackets,Blue,S,25.42,14.09,Spring,2024-04-11 23:48:11.842963
SKU00165,Grey Sneakers,Shoes,Sneakers,Blue,XL,65.86,37.29,Summer,2024-09-25 23:48:11.842970
SKU00166,Pink Scarves,Accessories,Scarves,Black,L,64.18,33.51,Summer,2024-05-13 23:48:11.842978
SKU00167,Red Heels,Shoes,Heels,Red,M,145.36,68.84,Winter,2024-09-18 23:48:11.842986
SKU00168,Pink Jewelry,Accessories,Jewelry,Green,L,82.89,46.7,Winter,2024-10-05 23:48:11.842994
SKU00169,Green Scarves,Accessories,Scarves,Black,XXL,79.88,46.88,Fall,2024-03-18 23:48:11.843001
SKU00170,Green Sneakers,Shoes,Sneakers,White,S,51.83,21.68,Summer,2024-05-17 23:48:11.843009
SKU00171,Grey Shorts,Bottoms,Shorts,Black,L,22.19,10.59,Fall,2024-08-28 23:48:11.843017
SKU00172,Red Sweaters,Tops,Sweaters,Black,M,140.66,60.13,Fall,2024-10-13 23:48:11.843025
SKU00173,Blue Evening Dresses,Dresses,Evening Dresses,Pink,L,98.07,44.25,Spring,2024-12-17 23:48:11.843034
SKU00174,White Shorts,Bottoms,Shorts,Green,S,55.66,26.94,Spring,2024-08-26 23:48:11.843042
SKU00175,White Jewelry,Accessories,Jewelry,White,L,95.56,48.07,Spring,2024-02-07 23:48:11.843049
SKU00176,Green Trousers,Bottoms,Trousers,Brown,XS,98.0,47.36,Summer,2024-03-09 23:48:11.843057
SKU00177,Grey Sneakers,Shoes,Sneakers,White,XL,88.45,50.83,Spring,2024-06-10 23:48:11.843067
SKU00178,Grey Shirts,Tops,Shirts,Green,XXL,17.19,7.7,Spring,2024-07-03 23:48:11.843075
SKU00179,Grey Sneakers,Shoes,Sneakers,Blue,XS,62.56,27.21,Fall,2024-02-01 23:48:11.843083
SKU00180,Pink Heels,Shoes,Heels,Blue,S,23.52,10.79,Winter,2024-12-08 23:48:11.843091
SKU00181,Black Blouses,Tops,Blouses,Grey,M,84.58,34.45,Winter,2024-08-19 23:48:11.843099
SKU00182,Green Boots,Shoes,Boots,Grey,XS,131.88,56.04,Fall,2024-08-09 23:48:11.843106
SKU00183,Brown Evening Dresses,Dresses,Evening Dresses,Pink,L,60.77,32.72,Summer,2024-04-16 23:48:11.843116
SKU00184,Green Summer Dresses,Dresses,Summer Dresses,White,XXL,72.31,43.32,Winter,2024-02-22 23:48:11.843126
SKU00185,Grey Skirts,Bottoms,Skirts,White,XS,59.27,28.99,Fall,2024-07-23 23:48:11.843134
SKU00186,Blue Heels,Shoes,Heels,Pink,M,75.36,45.19,Fall,2024-02-16 23:48:11.843141
SKU00187,Black Summer Dresses,Dresses,Summer Dresses,White,XXL,101.06,56.62,Fall,2024-04-08 23:48:11.843149
SKU00188,Black Boots,Shoes,Boots,Blue,XL,106.54,45.31,Winter,2024-12-09 23:48:11.843156
SKU00189,Grey Skirts,Bottoms,Skirts,Brown,XL,19.37,11.42,Summer,2024-05-10 23:48:11.843164
SKU00190,White Evening Dresses,Dresses,Evening Dresses,Blue,XL,64.54,29.04,Fall,2024-08-06 23:48:11.843176
SKU00191,Blue T-shirts,Tops,T-shirts,Pink,XL,67.24,37.32,Spring,2024-08-14 23:48:11.843184
SKU00192,Red Heels,Shoes,Heels,Green,XXL,138.72,58.89,Winter,2024-09-15 23:48:11.843192
SKU00193,Blue Shirts,Tops,Shirts,Pink,XS,124.42,67.42,Fall,2024-07-02 23:48:11.843200
SKU00194,Green Belts,Accessories,Belts,Blue,XXL,110.79,55.59,Summer,2024-06-24 23:48:11.843207
SKU00195,Blue Blouses,Tops,Blouses,Red,L,18.55,10.4,Fall,2024-05-01 23:48:11.843215
SKU00196,White Scarves,Accessories,Scarves,White,M,68.75,33.15,Winter,2024-04-01 23:48:11.843226
SKU00197,White Blazers,Outerwear,Blazers,Blue,M,101.72,54.52,Winter,2024-05-02 23:48:11.843234
SKU00198,Blue Casual Dresses,Dresses,Casual Dresses,Blue,L,82.89,41.75,Spring,2024-10-24 23:48:11.843242
SKU00199,Blue Casual Dresses,Dresses,Casual Dresses,Grey,XXL,45.44,20.45,Fall,2024-11-16 23:48:11.843250
SKU00200,Blue Sandals,Shoes,Sandals,Green,XL,87.02,51.2,Summer,2024-02-27 23:48:11.843258
SKU00201,Grey Trousers,Bottoms,Trousers,Black,XS,25.97,14.37,Fall,2024-09-10 23:48:11.843267
SKU00202,Black Blazers,Outerwear,Blazers,Pink,XXL,88.65,39.8,Fall,2024-04-23 23:48:11.843275
SKU00203,Green Heels,Shoes,Heels,Pink,XS,107.96,52.16,Summer,2024-05-15 23:48:11.843282
SKU00204,Grey Jackets,Outerwear,Jackets,Blue,M,131.3,78.13,Fall,2024-07-03 23:48:11.843290
SKU00205,White Skirts,Bottoms,Skirts,Grey,S,77.97,35.05,Fall,2024-05-10 23:48:11.843304
SKU00206,Green T-shirts,Tops,T-shirts,Brown,XL,71.45,41.92,Summer,2024-07-12 23:48:11.843312
SKU00207,Red Sandals,Shoes,Sandals,Blue,L,149.46,86.06,Winter,2024-04-15 23:48:11.843320
SKU00208,White Jackets,Outerwear,Jackets,Brown,XL,76.73,39.64,Summer,2024-09-07 23:48:11.843327
SKU00209,Green T-shirts,Tops,T-shirts,Pink,XL,134.12,68.04,Winter,2024-08-02 23:48:11.843335
SKU00210,Blue Shirts,Tops,Shirts,Green,XXL,64.38,26.33,Winter,2024-06-22 23:48:11.843343
SKU00211,Grey Blouses,Tops,Blouses,Green,XS,67.16,30.62,Winter,2024-03-20 23:48:11.843350
SKU00212,Blue Bags,Accessories,Bags,White,L,65.38,38.43,Fall,2024-03-16 23:48:11.843358
SKU00213,Brown Trousers,Bottoms,Trousers,Black,XS,20.25,10.2,Fall,2024-04-28 23:48:11.843366
SKU00214,Grey Trousers,Bottoms,Trousers,Grey,S,68.05,31.8,Fall,2024-02-27 23:48:11.843375
SKU00215,Green Jewelry,Accessories,Jewelry,Pink,XS,64.73,33.45,Spring,2024-05-27 23:48:11.843382
SKU00216,Pink Sneakers,Shoes,Sneakers,Green,XXL,120.69,62.36,Summer,2024-11-30 23:48:11.843393
SKU00217,Blue Shorts,Bottoms,Shorts,Red,XS,92.3,37.27,Spring,2024-09-20 23:48:11.843401
SKU00218,Blue Evening Dresses,Dresses,Evening Dresses,Brown,XXL,42.53,23.02,Winter,2024-11-25 23:48:11.843409
SKU00219,Grey Scarves,Accessories,Scarves,Pink,XL,65.87,38.36,Summer,2024-05-05 23:48:11.843417
SKU00220,Grey Summer Dresses,Dresses,Summer Dresses,Green,XL,80.36,41.11,Summer,2024-08-06 23:48:11.843425
SKU00221,Green Skirts,Bottoms,Skirts,Red,XXL,110.17,51.75,Fall,2024-04-25 23:48:11.843432
SKU00222,Green Sandals,Shoes,Sandals,White,XL,106.34,59.94,Winter,2024-06-07 23:48:11.843440
SKU00223,Black Skirts,Bottoms,Skirts,Green,XXL,25.67,14.1,Winter,2024-08-17 23:48:11.843448
SKU00224,Green Trousers,Bottoms,Trousers,Green,S,29.75,12.2,Summer,2024-08-24 23:48:11.843456
SKU00225,Red Scarves,Accessories,Scarves,Black,XS,70.8,37.97,Winter,2024-11-05 23:48:11.843464
SKU00226,Blue Jeans,Bottoms,Jeans,Brown,XXL,141.23,74.87,Winter,2024-04-26 23:48:11.843476
SKU00227,Green Evening Dresses,Dresses,Evening Dresses,Black,XS,103.06,56.45,Summer,2024-03-28 23:48:11.843484
SKU00228,Brown Blouses,Tops,Blouses,Blue,XS,149.62,65.42,Winter,2024-04-17 23:48:11.843493
SKU00229,Black Sandals,Shoes,Sandals,Black,M,91.67,41.89,Spring,2024-07-08 23:48:11.843500
SKU00230,Blue Heels,Shoes,Heels,Pink,M,41.03,17.75,Spring,2024-07-10 23:48:11.843508
SKU00231,Green Blazers,Outerwear,Blazers,Blue,XS,114.44,61.21,Fall,2024-03-11 23:48:11.843516
SKU00232,Brown Trousers,Bottoms,Trousers,Brown,XL,59.27,25.9,Winter,2024-11-08 23:48:11.843523
SKU00233,Grey Shorts,Bottoms,Shorts,Red,XS,50.21,27.65,Summer,2024-05-12 23:48:11.843532
SKU00234,Black Evening Dresses,Dresses,Evening Dresses,Green,XXL,63.54,33.9,Summer,2024-11-25 23:48:11.843540
SKU00235,Blue Coats,Outerwear,Coats,Brown,XXL,82.84,43.72,Fall,2024-10-27 23:48:11.843550
SKU00236,Red Evening Dresses,Dresses,Evening Dresses,Red,S,79.55,37.76,Winter,2024-02-20 23:48:11.843558
